DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
    Housebreaking,3,3,1,6,12,2,na,na,na,na,na,na,na
    Snatch Theft,1,1,0,1,4,0,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,4,2,7,2,1,0,na,na,na,na,na,na,na
    Outrage Of Modesty,28,36,34,48,46,4,na,na,na,na,na,na,na
Woodlands Police Division - Yishun South NPC,10,18,26,26,18,1,na,na,na,na,na,na,na
    Robbery,0,0,0,0,1,0,na,na,na,na,na,na,na
    Housebreaking,0,3,0,1,1,0,na,na,na,na,na,na,na
    Snatch Theft,0,0,0,0,0,0,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,1,1,0,0,0,0,na,na,na,na,na,na,na
    Outrage Of Modesty,9,14,26,25,16,1,na,na,na,na,na,na,na
Woodlands Police Division - Sembawang NPC,33,38,35,46,27,2,na,na,na,na,na,na,na
    Robbery,0,0,0,0,1,0,na,na,na,na,na,na,na
    Housebreaking,6,4,5,8,6,0,na,na,na,na,na,na,na
    Snatch Theft,1,0,0,0,0,0,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,1,2,2,8,2,1,na,na,na,na,na,na,na
    Outrage Of Modesty,25,32,28,30,18,1,na,na,na,na,na,na,na
Woodlands Police Division - Checkpoint,0,3,4,6,0,0,na,na,na,na,na,na,na
    Robbery,0,0,0,0,0,0,na,na,na,na,na,na,na
    Housebreaking,0,0,0,0,0,0,na,na,na,na,na,na,na
    Snatch Theft,0,0,0,0,0,0,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,0,0,0,0,0,0,na,na,na,na,na,na,na
    Outrage Of Modesty,0,3,4,6,0,0,na,na,na,na,na,na,na
Woodlands Police Division - Unknown NPC,3,1,1,1,0,0,na,na,na,na,na,na,na
    Robbery,0,0,0,0,0,0,na,na,na,na,na,na,na
    Housebreaking,0,0,0,0,0,0,na,na,na,na,na,na,na
    Snatch Theft,0,0,0,0,0,0,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,0,0,0,0,0,0,na,na,na,na,na,na,na
    Outrage Of Modesty,3,1,1,1,0,0,na,na,na,na,na,na,na
